"LANGUAGE","日本語","Language name (in native language)."
"LANGUAGE_GAME","ゲームの言語を使用","Default selection in language selection menu."
"NOTE_CLOSE","閉じる","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","次回から表示しない","Notification button text - don't show this notification again."
"NO","いいえ","Notification button text - don't perform this action."
"YES","はい","Notification button text - perfom this action."
"PRESS_ANY_KEY","何かキーを押して下さい","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","MODの競合が検出されました！","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","正常にMODが起動できないため、動作をシャットダウンしました。","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","競合するMOD:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","MODで必要なHarmony2のパッチ動作で、適用と完了ができませんでした。","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","古いMODや壊れたMODが、Harmony2の正常な動作を阻害しています。","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","MODの依存関係で必要なHarmony2が、インストール/有効化されていません。","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","古いMODや壊れたMODが、Harmony2の正常な動作を阻害しています。","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","競合する他のMODが、Harmony2のパッチを重複して適用しようとしています。","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","並列して配置・スタックしたネットワークを簡単に敷設することが出来ます。"
"TOOLTIP_AUTO_WIDTH_TOGGLE_BUTTON","メインのネットワークが変更された場合は水平オフセットを調整します。"
"TOOLTIP_ANGLE_COMPENSATION_TOGGLE_BUTTON","角度の補正"
"TOOLTIP_SORT_NETWORKS_BUTTON","ネットワークを水平距離でソート (昇順) します。"
"TOOLTIP_ADD_NETWORK_BUTTON","ネットワークを追加"
"TOOLTIP_REMOVE_NETWORK_BUTTON","ネットワークを削除"
"TOOLTIP_INVERT_DIRECTION_TOGGLE_BUTTON","方向の反転"
"TOOLTIP_HORIZONTAL_OFFSET_TEXT","前のセグメントからの水平距離
スクロールして変更
CTRL: x0.1
SHIFT: x10"
"TOOLTIP_VERTICAL_OFFSET_TEXT","前のセグメントからの垂直距離
スクロールして変更
CTRL: x0.1
SHIFT: x10"
"LABEL_SAVE_PRESET_WINDOW_TITLE","プリセットをセーブ"
"LABEL_LOAD_PRESET_WINDOW_TITLE","プリセットをロード"
"LABEL_SAVE_PRESET_FAILED_TITLE","プリセットのセーブに失敗"
"LABEL_SAVE_PRESET_FAILED_MESSAGE","セーブ中にエラーが発生しました。プリセット名 {0}:\r\n{1}"
"LABEL_OVERWRITE_PRESET_TITLE","上書き"
"LABEL_OVERWRITE_PRESET_MESSAGE","ファイル 「{0}」が既にありますが、上書きしますか？"
"LABEL_DELETE_CONFIRMATION_PRESET_TITLE","削除"
"LABEL_DELETE_CONFIRMATION_PRESET_MESSAGE","「{0}」 を削除しても、本当によろしいですか？"
"LABEL_DELETE_PRESET_BUTTON_TITLE","プリセットを削除"
"LABEL_DELETE_PRESET_FAILED_TITLE","プリセットの削除に失敗"
"LABEL_DELETE_PRESET_FAILED_MESSAGE","削除中にエラーが発生しました。プリセット名 {0}:\r\n{1}"
"LABEL_LOAD_PRESET_BUTTON_TITLE","プリセットをロード"
"LABEL_LOAD_PRESET_FAILED_TITLE","プリセットのセーブに失敗"
"LABEL_LOAD_PRESET_FAILED_MESSAGE","セーブ中にエラーが発生しました。プリセット名 {0}:\r\n{1}"
"PRT_UPD_30_0","他のMODとの互換性を高めるために、MODのコアをHarmony2へ移行しました。"
"PRT_UPD_30_1","MODのコアロジック/エンジンを全面的に書き直しました。"
"PRT_UPD_30_2","UIを全てリニューアルして高速化しています。"
"PRT_UPD_30_3","MODの有効化/無効化に関するロジックを改善して、より一貫性のある動作を実現しています。"
"PRT_UPD_30_4","ネットワークを水平距離でソートするボタンを追加しました。"
"PRT_UPD_30_5","選択したメインのネットワーク変更時に、水平オフセットの自動調整をオン/オフするボタンを追加しました。(並列したネットワークは、新しいネットワークの幅に合わせてシフト)"
"PRT_UPD_30_6","自動的な角度補正を有効/無効にするボタンを追加: 鋭角の直線ネットワークを構築する場合はノードを移動して、更に見栄え良くすることが可能になりました。"
"PRT_UPD_30_7","水平/垂直オフセットのテキストに、スクロールホイールのサポートを追加しました。"
"PRT_UPD_30_8","ALTキーを押して、建物側の切り替えが可能になりました。(カーブのアップグレードして予期せぬ問題が出た場合に使用)"
"PRT_UPD_30_9","並列/スタックしたセグメントで、ツリーを配置/適用しないバグを修正しました。"
